epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
60,73314.8,1.30946,0.72851,1.03097,0.73548,0.60403,0.66999,0.38054,1.35773,0.73133,1.04103,0.0024454,0.0024454,0.0024454
61,74538,1.3085,0.72642,1.03014,0.73604,0.60305,0.67035,0.38064,1.35778,0.73113,1.04099,0.00231802,0.00231802,0.00231802
62,75761.7,1.30534,0.72316,1.0285,0.7392,0.60413,0.67168,0.38079,1.35784,0.73111,1.04088,0.00219555,0.00219555,0.00219555
63,76984.9,1.30485,0.72163,1.02677,0.73639,0.60788,0.67178,0.38121,1.35798,0.73102,1.04068,0.00207817,0.00207817,0.00207817
64,78209.4,1.30097,0.71727,1.02631,0.73985,0.60662,0.67222,0.38167,1.35809,0.73099,1.04058,0.00196607,0.00196607,0.00196607
65,79429.3,1.30091,0.71558,1.02518,0.74307,0.60501,0.67253,0.38168,1.35818,0.73091,1.04046,0.00185942,0.00185942,0.00185942
66,80649.4,1.29953,0.71341,1.02447,0.73844,0.60561,0.67221,0.38191,1.35834,0.73092,1.04039,0.00175839,0.00175839,0.00175839
67,81869.9,1.29856,0.71057,1.02384,0.73867,0.60636,0.67286,0.38179,1.35863,0.73093,1.04033,0.00166312,0.00166312,0.00166312
68,83090.2,1.29732,0.7087,1.024,0.74182,0.60641,0.67336,0.38219,1.3589,0.73079,1.04023,0.00157377,0.00157377,0.00157377
69,84310.8,1.29468,0.70633,1.0231,0.73927,0.60652,0.67385,0.38254,1.35917,0.73083,1.04017,0.00149047,0.00149047,0.00149047
70,85531.5,1.2921,0.70402,1.02179,0.73914,0.60658,0.67351,0.38237,1.35952,0.73091,1.04014,0.00141336,0.00141336,0.00141336
71,86754.2,1.33881,0.71824,1.04195,0.74436,0.60373,0.67271,0.38211,1.35996,0.73112,1.04028,0.00134254,0.00134254,0.00134254
72,87946.1,1.33449,0.71311,1.03823,0.74532,0.60302,0.67269,0.38184,1.36018,0.73122,1.04032,0.00127814,0.00127814,0.00127814
73,89135.4,1.33441,0.71184,1.03862,0.74326,0.60382,0.67223,0.38188,1.36058,0.73143,1.04053,0.00122025,0.00122025,0.00122025
74,90324,1.33036,0.70844,1.0368,0.73988,0.60633,0.67133,0.38176,1.36108,0.73145,1.04081,0.00116895,0.00116895,0.00116895
75,91512.3,1.32797,0.70569,1.03476,0.73868,0.60575,0.6712,0.38098,1.36164,0.7315,1.04099,0.00112434,0.00112434,0.00112434
76,92701.3,1.32659,0.7045,1.03463,0.74,0.6052,0.67104,0.38084,1.36228,0.7316,1.0412,0.00108647,0.00108647,0.00108647
77,93890.7,1.32486,0.70224,1.03271,0.73857,0.60768,0.67119,0.38068,1.36296,0.7319,1.0413,0.0010554,0.0010554,0.0010554
78,95079.9,1.32467,0.70111,1.0322,0.74124,0.60401,0.67133,0.38058,1.36363,0.73215,1.04139,0.00103119,0.00103119,0.00103119
79,96271.8,1.32373,0.70005,1.03317,0.74051,0.60413,0.67106,0.38003,1.36444,0.73235,1.04163,0.00101387,0.00101387,0.00101387
80,97463.2,1.32222,0.6979,1.03164,0.73862,0.60558,0.67053,0.37955,1.36529,0.73263,1.04197,0.00100347,0.00100347,0.00100347
